2-Sep-1997,This is a very special journal because it is a record of the many blessings the Lord has generously given me at all times and in all circumstances. Anyone has my permission to read this journal.  It is an account of joy!
2-Sep-1997,A husband who really meant “for better or for worse” as I struggle being a breast cancer survivor
2-Sep-1997,Nancy Meier – a truer friend I will never find
2-Sep-1997,Kim has the “wings” to fly without me
2-Sep-1997,Sue encourages me to stay with exercise no matter how slow the pace – walking
2-Sep-1997,The cover of this journal is perfect – flowers how I enjoy them!
3-Sep-1997,Vacation Memories
3-Sep-1997,Walking the dog with Dad
3-Sep-1997,My brother beside me on the sofa at Kara’s party
3-Sep-1997,Coaxing Amy bird to sing again
3-Sep-1997,American goldfinch at the feeder
3-Sep-1997,Wonderful healthy meals at Mom’s (crab cakes)
3-Sep-1997,"A day at the beach, warm sand, salty ocean breezes, gulls, cold breaking waves, giggly girls"
3-Sep-1997,Carl drawing me a Jacuzzi bubble bath – strawberry scented.
3-Sep-1997,Eva’s foot rubs and conversation
3-Sep-1997,Shopping with Nancy
3-Sep-1997,Bob swinging me around in my new evening dress
3-Sep-1997,Meeting some of the people who have prayed for me at Virginia’s church
3-Sep-1997,Playing with Ginger and the pugs
3-Sep-1997,Watching and listening to girls playing in pool with Bob
4-Sep-1997,Singing happy birthday to Kara
4-Sep-1997,Lunch with Sue
4-Sep-1997,Sue wants Lauren to attend Sunday school and church
4-Sep-1997,Feeling pretty and sexy in my new satin nightgown and robe
8-Sep-1997,Cuddling Kara before school
8-Sep-1997,Watching a toddler try to walk between a very tall Dad and very short Mom
8-Sep-1997,Earl Grey tea with Jean
8-Sep-1997,Freedom of no weekly commitments to anyone else
8-Sep-1997,A call from my Dad just because he was thinking about me
8-Sep-1997,Wearing “Mommy’s pink peals”
8-Sep-1997,Kelly styling my hair
8-Sep-1997,Watching a movie with Bob
8-Sep-1997,An idea to write a book about how others can help cancer survivors
9-Sep-1997,31 flavors and Bob wants to try them all!
9-Sep-1997,A walk and talk with Jean 
9-Sep-1997,Pym’s with Jean
9-Sep-1997,Kelly’s enthusiasm for her new volleyball outfit
10-Sep-1997,A love note from Kelly and Kara for making them brownies late last night
10-Sep-1997,A clean house with no effort on my part
10-Sep-1997,"Kara’s teaching is such an understanding, pleasant teacher"
10-Sep-1997,E-mail due to Bob’s efforts while our computer is in the shop
10-Sep-1997,Marigold and pansies at my front walk
10-Sep-1997,A hug around the waist and “I love you” from Kara
13-Sep-1997,Memories of playing pickup sticks with Kelly
13-Sep-1997,That my cancer books can give someone else hope
13-Sep-1997,Hugs from Claire and Sarah - Kara's 3rd and 4th grad teachers
13-Sep-1997,"The bouncy, happy sound of Kim's voice on the phone"
13-Sep-1997,Bright marigolds and pansies along the front walk
14-Sep-1997,Kelly's glow-in-the-dark stars and planets in her bedroom ceiling
14-Sep-1997,Kara's grin of triumph when she figured out a math problem
14-Sep-1997,Candle light in the bedroom
15-Sep-1997,Letting a beautiful moth out the window
15-Sep-1997,Snuggling Kara as she tells me of her school days
15-Sep-1997,Kelly's fun school stories 
16-Sep-1997,Bob forgot 110/230 on computer and “blew” it up – maybe we will get a Pentium after all!
16-Sep-1997,Kelly’s notes in my planning book
16-Sep-1997,Leuven may have done the wrong test – bone density instead of a bone scan for tumors!
16-Sep-1997,Coffee with Bob at the Pierette
16-Sep-1997,Bob is pleased I remember to slide the seat back
16-Sep-1997,I am programmed #1 in SAAB
18-Sep-1997,Kelly singing in the kitchen
18-Sep-1997,Funny jokes - de-caffeinated cows!
18-Sep-1997,Virtual flowers from Bob
18-Sep-1997,Three kisses from Kara – one for each day we are away
18-Sep-1997,Bob drew me a bubble bath
22-Sep-1997,Bob packed and unpacked our suitcases
22-Sep-1997,Swimming in the heated pool
22-Sep-1997,Stupendous fireworks
22-Sep-1997,Champagne with a French couple on their 25th wedding anniversary
22-Sep-1997,Dancing with Bob
22-Sep-1997,A surprise cup of tea
22-Sep-1997,Beautiful weather and romantic castles
22-Sep-1997,Joyous welcome by Kelly and Kara
22-Sep-1997,Good friends – Sue and John who cared for Kelly and Kara while we cruised the Rhine River
22-Sep-1997,A big shower stall
22-Sep-1997,A long phone call with Louise that distracted me from thinking of my quarterly check-up
22-Sep-1997,Bob sometimes asks my opinion or for suggestions in his class work
22-Sep-1997,Colleen K. is beginning to seek God in her life again
22-Sep-1997,Meeting Susan from Bible Study in parking lot at Leuven
24-Sep-1997,Kelly playing the organ
24-Sep-1997,Getting a letter from Nancy
24-Sep-1997,"A beautiful, clean, house"
24-Sep-1997,Kara singing as she cleans the kitchen after dinner
